Index,Model,Percentile,Region,Scenario,TimeAggregate,Year
1,1,90,6,1,2,2011
1,1,90,6,1,2,2018
1,1,90,6,1,2,2024
1,1,90,6,1,2,2026
1,1,90,6,1,2,2027
1,1,90,6,1,2,2038
1,1,90,6,1,2,2044
1,1,90,6,1,2,2045
1,1,90,6,1,2,2049
1,1,90,6,1,2,2053
1,1,90,6,1,2,2054
1,1,90,6,1,2,2055
1,1,90,6,1,2,2056
1,1,90,6,1,2,2057
1,1,90,6,1,2,2059
1,1,90,6,1,2,2060
1,1,90,6,1,2,2062
1,1,90,6,1,2,2063
1,1,90,6,1,2,2064
1,1,90,6,1,2,2065
1,1,90,6,1,2,2066
1,1,90,6,1,2,2068
1,1,90,6,1,2,2069
1,1,90,6,1,2,2070
1,1,90,6,1,2,2071
1,1,90,6,1,2,2072
1,1,90,6,1,2,2073
1,1,90,6,1,2,2075
1,1,90,6,1,2,2076
1,1,90,6,1,2,2077
1,1,90,6,1,2,2080
1,1,90,6,1,2,2081
1,1,90,6,1,2,2082
1,1,90,6,1,2,2083
1,1,90,6,1,2,2084
1,1,90,6,1,2,2088
1,1,90,6,1,2,2089
1,1,90,6,1,2,2090
1,1,90,6,1,2,2091
1,1,90,6,1,2,2092
1,1,90,6,1,2,2093
1,1,90,6,1,2,2094
1,1,90,6,1,2,2095
1,1,90,6,1,2,2096
1,1,90,6,1,2,2097
1,1,90,6,1,2,2098
1,1,90,6,1,2,2099
1,1,90,6,1,2,2100
1,1,10,6,1,2,1972
1,1,10,6,1,2,1973
1,1,10,6,1,2,1977
1,1,10,6,1,2,1978
1,1,10,6,1,2,1983
1,1,10,6,1,2,1993
1,1,10,6,1,2,2023
1,1,10,6,1,2,2029
1,1,90,11,1,3,1979
1,1,90,11,1,3,1985
1,1,90,11,1,3,1991
1,1,90,11,1,3,1996
1,1,90,11,1,3,1997
1,1,90,11,1,3,2000
1,1,90,11,1,3,2005
1,1,90,11,1,3,2011
1,1,90,11,1,3,2012
1,1,90,11,1,3,2013
1,1,90,11,1,3,2016
1,1,90,11,1,3,2017
1,1,90,11,1,3,2018
1,1,90,11,1,3,2019
1,1,90,11,1,3,2020
1,1,90,11,1,3,2021
1,1,90,11,1,3,2023
1,1,90,11,1,3,2024
1,1,90,11,1,3,2025
1,1,90,11,1,3,2026
1,1,90,11,1,3,2027
1,1,90,11,1,3,2029
1,1,90,11,1,3,2031
1,1,90,11,1,3,2032
1,1,90,11,1,3,2034
1,1,90,11,1,3,2035
1,1,90,11,1,3,2036
1,1,90,11,1,3,2037
1,1,90,11,1,3,2038
1,1,90,11,1,3,2039
1,1,90,11,1,3,2040
1,1,90,11,1,3,2041
1,1,90,11,1,3,2042
1,1,90,11,1,3,2044
1,1,90,11,1,3,2046
1,1,90,11,1,3,2047
1,1,90,11,1,3,2048
1,1,90,11,1,3,2049
1,1,90,11,1,3,2050
1,1,90,11,1,3,2051
1,1,90,11,1,3,2053
1,1,90,11,1,3,2055
1,1,90,11,1,3,2056
1,1,90,11,1,3,2057
1,1,90,11,1,3,2058
1,1,90,11,1,3,2059
1,1,90,11,1,3,2060
1,1,90,11,1,3,2061
1,1,90,11,1,3,2062
1,1,90,11,1,3,2063
1,1,90,11,1,3,2064
1,1,90,11,1,3,2065
1,1,90,11,1,3,2066
1,1,90,11,1,3,2067
1,1,90,11,1,3,2068
1,1,90,11,1,3,2069
1,1,90,11,1,3,2070
1,1,90,11,1,3,2071
1,1,90,11,1,3,2072
1,1,90,11,1,3,2073
1,1,90,11,1,3,2074
1,1,90,11,1,3,2075
1,1,90,11,1,3,2076
1,1,90,11,1,3,2077
1,1,90,11,1,3,2078
1,1,90,11,1,3,2079
1,1,90,11,1,3,2080
1,1,90,11,1,3,2081
1,1,90,11,1,3,2082
1,1,90,11,1,3,2083
1,1,90,11,1,3,2084
1,1,90,11,1,3,2085
1,1,90,11,1,3,2086
1,1,90,11,1,3,2087
1,1,90,11,1,3,2088
1,1,90,11,1,3,2089
1,1,90,11,1,3,2090
1,1,90,11,1,3,2091
1,1,90,11,1,3,2092
1,1,90,11,1,3,2093
1,1,90,11,1,3,2094
1,1,90,11,1,3,2095
1,1,90,11,1,3,2096
1,1,90,11,1,3,2097
1,1,90,11,1,3,2098
1,1,90,11,1,3,2099
1,1,90,11,1,3,2100
1,1,10,11,1,3,1972
1,1,10,11,1,3,1973
1,1,10,11,1,3,1976
1,1,10,11,1,3,1977
1,1,10,11,1,3,1978
1,1,10,11,1,3,1981
1,1,10,11,1,3,1983
1,1,10,11,1,3,1992
1,1,10,11,1,3,2001
1,1,90,13,1,3,1993
1,1,90,13,1,3,1996
1,1,90,13,1,3,1997
1,1,90,13,1,3,2000
1,1,90,13,1,3,2003
1,1,90,13,1,3,2013
1,1,90,13,1,3,2014
1,1,90,13,1,3,2021
1,1,90,13,1,3,2026
1,1,90,13,1,3,2038
1,1,90,13,1,3,2039
1,1,90,13,1,3,2041
1,1,90,13,1,3,2042
1,1,90,13,1,3,2048
1,1,90,13,1,3,2049
1,1,90,13,1,3,2050
1,1,90,13,1,3,2053
