Index,Model,Percentile,Region,Scenario,TimeAggregate,Year
2,1,10,5,rcp45,DJF,2001
2,1,10,5,rcp45,DJF,2006
2,1,10,5,rcp45,DJF,2018
2,1,10,5,rcp45,DJF,2020
2,1,10,5,rcp45,DJF,2022
2,1,10,5,rcp45,DJF,2027
2,1,10,5,rcp45,DJF,2028
2,1,10,5,rcp45,DJF,2029
2,1,10,5,rcp45,DJF,2031
2,1,10,5,rcp45,DJF,2032
2,1,10,5,rcp45,DJF,2033
2,1,10,5,rcp45,DJF,2036
2,1,10,5,rcp45,DJF,2037
2,1,10,5,rcp45,DJF,2040
2,1,10,5,rcp45,DJF,2045
2,1,10,5,rcp45,DJF,2048
2,1,10,5,rcp45,DJF,2049
2,1,10,5,rcp45,DJF,2050
2,1,10,5,rcp45,DJF,2053
2,1,10,5,rcp45,DJF,2055
2,1,10,5,rcp45,DJF,2056
2,1,10,5,rcp45,DJF,2057
2,1,10,5,rcp45,DJF,2061
2,1,10,5,rcp45,DJF,2062
2,1,10,5,rcp45,DJF,2063
2,1,10,5,rcp45,DJF,2065
2,1,10,5,rcp45,DJF,2066
2,1,10,5,rcp45,DJF,2067
2,1,10,5,rcp45,DJF,2071
2,1,10,5,rcp45,DJF,2072
2,1,10,5,rcp45,DJF,2075
2,1,10,5,rcp45,DJF,2076
2,1,10,5,rcp45,DJF,2077
2,1,10,5,rcp45,DJF,2080
2,1,10,5,rcp45,DJF,2081
2,1,10,5,rcp45,DJF,2082
2,1,10,5,rcp45,DJF,2083
2,1,10,5,rcp45,DJF,2084
2,1,10,5,rcp45,DJF,2085
2,1,10,5,rcp45,DJF,2086
2,1,10,5,rcp45,DJF,2088
2,1,10,5,rcp45,DJF,2089
2,1,10,5,rcp45,DJF,2092
2,1,10,5,rcp45,DJF,2094
2,1,10,5,rcp45,DJF,2095
2,1,10,5,rcp45,DJF,2096
2,1,10,5,rcp45,DJF,2097
2,1,10,5,rcp45,DJF,2099
2,1,10,5,rcp45,DJF,2100
2,1,5,5,rcp45,DJF,1973
2,1,5,5,rcp45,DJF,1988
2,1,5,5,rcp45,DJF,2018
2,1,5,5,rcp45,DJF,2020
2,1,5,5,rcp45,DJF,2022
2,1,5,5,rcp45,DJF,2028
2,1,5,5,rcp45,DJF,2029
2,1,5,5,rcp45,DJF,2031
2,1,5,5,rcp45,DJF,2033
2,1,5,5,rcp45,DJF,2037
2,1,5,5,rcp45,DJF,2040
2,1,5,5,rcp45,DJF,2048
2,1,5,5,rcp45,DJF,2049
2,1,5,5,rcp45,DJF,2050
2,1,5,5,rcp45,DJF,2053
2,1,5,5,rcp45,DJF,2055
2,1,5,5,rcp45,DJF,2056
2,1,5,5,rcp45,DJF,2057
2,1,5,5,rcp45,DJF,2063
2,1,5,5,rcp45,DJF,2065
2,1,5,5,rcp45,DJF,2066
2,1,5,5,rcp45,DJF,2067
2,1,5,5,rcp45,DJF,2071
2,1,5,5,rcp45,DJF,2072
2,1,5,5,rcp45,DJF,2075
2,1,5,5,rcp45,DJF,2076
2,1,5,5,rcp45,DJF,2077
2,1,5,5,rcp45,DJF,2080
2,1,5,5,rcp45,DJF,2081
2,1,5,5,rcp45,DJF,2083
2,1,5,5,rcp45,DJF,2084
2,1,5,5,rcp45,DJF,2085
2,1,5,5,rcp45,DJF,2088
2,1,5,5,rcp45,DJF,2089
2,1,5,5,rcp45,DJF,2092
2,1,5,5,rcp45,DJF,2094
2,1,5,5,rcp45,DJF,2095
2,1,5,5,rcp45,DJF,2096
2,1,5,5,rcp45,DJF,2097
2,1,5,5,rcp45,DJF,2099
2,1,5,5,rcp45,DJF,2100
2,2,90,5,rcp45,DJF,1973
2,2,90,5,rcp45,DJF,1974
2,2,90,5,rcp45,DJF,1975
2,2,90,5,rcp45,DJF,1991
2,2,90,5,rcp45,DJF,2009
2,2,90,5,rcp45,DJF,2027
2,2,90,5,rcp45,DJF,2028
2,2,90,5,rcp45,DJF,2092
2,2,95,5,rcp45,DJF,1973
2,2,95,5,rcp45,DJF,1974
2,2,95,5,rcp45,DJF,1975
2,2,95,5,rcp45,DJF,1991
2,2,95,5,rcp45,DJF,2009
2,2,95,5,rcp45,DJF,2027
2,2,95,5,rcp45,DJF,2092
2,2,10,5,rcp45,DJF,1989
2,2,10,5,rcp45,DJF,1994
2,2,10,5,rcp45,DJF,1999
2,2,10,5,rcp45,DJF,2000
2,2,10,5,rcp45,DJF,2003
2,2,10,5,rcp45,DJF,2005
2,2,10,5,rcp45,DJF,2006
2,2,10,5,rcp45,DJF,2011
2,2,10,5,rcp45,DJF,2012
2,2,10,5,rcp45,DJF,2015
2,2,10,5,rcp45,DJF,2019
2,2,10,5,rcp45,DJF,2022
2,2,10,5,rcp45,DJF,2026
2,2,10,5,rcp45,DJF,2030
2,2,10,5,rcp45,DJF,2032
2,2,10,5,rcp45,DJF,2033
2,2,10,5,rcp45,DJF,2034
2,2,10,5,rcp45,DJF,2035
2,2,10,5,rcp45,DJF,2037
2,2,10,5,rcp45,DJF,2038
2,2,10,5,rcp45,DJF,2042
2,2,10,5,rcp45,DJF,2043
2,2,10,5,rcp45,DJF,2044
2,2,10,5,rcp45,DJF,2046
2,2,10,5,rcp45,DJF,2048
2,2,10,5,rcp45,DJF,2053
2,2,10,5,rcp45,DJF,2054
2,2,10,5,rcp45,DJF,2055
2,2,10,5,rcp45,DJF,2056
2,2,10,5,rcp45,DJF,2058
2,2,10,5,rcp45,DJF,2059
2,2,10,5,rcp45,DJF,2060
2,2,10,5,rcp45,DJF,2062
2,2,10,5,rcp45,DJF,2063
2,2,10,5,rcp45,DJF,2064
2,2,10,5,rcp45,DJF,2065
2,2,10,5,rcp45,DJF,2066
2,2,10,5,rcp45,DJF,2067
2,2,10,5,rcp45,DJF,2071
2,2,10,5,rcp45,DJF,2072
2,2,10,5,rcp45,DJF,2074
2,2,10,5,rcp45,DJF,2075
2,2,10,5,rcp45,DJF,2077
2,2,10,5,rcp45,DJF,2079
2,2,10,5,rcp45,DJF,2080
2,2,10,5,rcp45,DJF,2081
2,2,10,5,rcp45,DJF,2083
2,2,10,5,rcp45,DJF,2084
2,2,10,5,rcp45,DJF,2085
2,2,10,5,rcp45,DJF,2086
2,2,10,5,rcp45,DJF,2087
2,2,10,5,rcp45,DJF,2088
2,2,10,5,rcp45,DJF,2089
2,2,10,5,rcp45,DJF,2096
