Index,Model,Region,Scenario,Sigma,Value,Year
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,250.849365234,2057
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,5466.95092773,2058
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,3146.78686523,2059
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,2164.27905273,2061
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,729.466552734,2062
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,2811.31811523,2063
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,2644.21655273,2064
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,7068.38842773,2065
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,2597.82592773,2066
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,6180.33374023,2067
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,1222.69311523,2068
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,4327.16186523,2072
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,553.325927734,2073
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,4661.63061523,2074
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,4334.56030273,2075
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,4257.99780273,2076
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,3696.74780273,2077
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,630.310302734,2078
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,5646.38061523,2079
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,7180.04467773,2080
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,2052.08374023,2081
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,676.122802734,2082
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,2853.02124023,2083
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,6481.20874023,2084
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,1854.27905273,2085
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,6959.32592773,2086
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,7183.35717773,2087
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,5777.57592773,2088
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,2915.17749023,2089
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,4454.50561523,2090
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,2762.05249023,2094
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,2329.87280273,2095
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,5989.51342773,2097
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,1795.73999023,2099
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,1316.39624023,2100
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,31.3237304688,1989
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,433.308105469,2003
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,311.175292969,2012
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,856.690917969,2022
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,879.409667969,2032
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,1354.70654297,2038
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,3039.36279297,2042
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,1134.51904297,2046
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,2437.21435547,2055
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,1405.84716797,2058
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,3007.28466797,2065
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,2119.22998047,2067
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,266.058105469,2072
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,600.526855469,2074
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,273.456542969,2075
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,196.894042969,2076
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,1585.27685547,2079
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,3118.94091797,2080
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,2420.10498047,2084
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,2898.22216797,2086
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,3122.25341797,2087
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,1716.47216797,2088
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,393.401855469,2090
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,2,1928.40966797,2097
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,1272.17749023,1980
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,3026.29467773,1981
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,3274.66967773,1993
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,1620.91186523,1998
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,1077.16967773,2019
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,703.685302734,2021
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,3917.46655273,2022
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,1979.07592773,2023
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,471.536865234,2024
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,2247.03686523,2025
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,746.114990234,2028
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,1083.28686523,2031
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,2298.87280273,2032
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,717.724365234,2033
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,3780.41186523,2034
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,444.661865234,2035
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,3805.15405273,2038
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,3767.01342773,2039
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,1215.54467773,2042
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,1919.70092773,2045
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,650.349365234,2048
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,800.419677734,2050
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,1857.62280273,2052
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,2986.63061523,2053
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,709.443115234,2054
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,938.216552734,2055
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,598.794677734,2056
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,3253.52124023,2059
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,6172.67749023,2060
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,2401.32592773,2061
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,3720.77905273,2063
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,3793.73217773,2065
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,6582.07592773,2066
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,3904.31030273,2067
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,5574.00561523,2068
GD4,ICHEC-EC-EARTH_RCA4,Normandie,rcp45,1,1861.00561523,2069
