Index,Model,Percentile,Region,Scenario,Season,Value,Year
10,7,10,4,rcp45,DJF,-3.16293344498,1992
10,7,10,4,rcp45,DJF,-1.68826684952,1999
10,7,10,4,rcp45,DJF,-1.50026664734,2001
10,7,10,4,rcp45,DJF,-0.849600410461,2007
10,7,10,4,rcp45,DJF,-3.59226665497,2011
10,7,10,4,rcp45,DJF,-2.63093338013,2021
10,7,10,4,rcp45,DJF,-0.0722671508789,2024
10,7,10,4,rcp45,DJF,-3.07226667404,2026
10,7,10,4,rcp45,DJF,-3.28693351746,2034
10,7,10,4,rcp45,DJF,-3.17760000229,2036
10,7,10,4,rcp45,DJF,-0.230933761597,2039
10,7,10,4,rcp45,DJF,-0.230933761597,2041
10,7,10,4,rcp45,DJF,-2.48159990311,2045
10,7,10,4,rcp45,DJF,-0.0415998458862,2053
10,7,10,4,rcp45,DJF,-3.37360010147,2055
10,7,10,4,rcp45,DJF,-3.70960006714,2063
10,7,10,4,rcp45,DJF,-0.428267097473,2066
10,7,10,4,rcp45,DJF,-1.75759992599,2067
10,7,10,4,rcp45,DJF,-0.320266342163,2081
10,7,10,4,rcp45,DJF,-2.00026664734,2084
10,7,10,4,rcp45,DJF,-0.0389333724976,2085
10,7,10,4,rcp45,DJF,-2.52426681519,2091
10,7,10,4,rcp45,DJF,-0.772266960144,2100
10,100,90,14,rcp45,DJF,5.22906036377,1987
10,100,90,14,rcp45,DJF,1.11367530823,1991
10,100,90,14,rcp45,DJF,0.22906036377,1997
10,100,90,14,rcp45,DJF,0.164956283569,2009
10,100,10,14,rcp45,DJF,-1.78205137253,1994
10,100,10,14,rcp45,DJF,-3.1367524147,1995
10,100,10,14,rcp45,DJF,-0.282051849365,1999
10,1,90,14,rcp45,DJF,4.48333282471,1982
10,1,90,14,rcp45,DJF,3.6393157959,2021
10,1,90,14,rcp45,DJF,15.1029903412,2034
10,1,90,14,rcp45,DJF,3.42777748108,2070
10,1,90,14,rcp45,DJF,13.3722202301,2093
10,1,10,14,rcp45,DJF,-2.72435932159,1974
10,1,10,14,rcp45,DJF,-3.7478635788,1978
10,1,10,14,rcp45,DJF,-0.0384614944458,1986
10,1,10,14,rcp45,DJF,-0.378205108643,1988
10,1,10,14,rcp45,DJF,-4.10042743683,1992
10,1,10,14,rcp45,DJF,-4.33760719299,1993
10,1,10,14,rcp45,DJF,-0.102564620972,1996
10,1,10,14,rcp45,DJF,-0.0576923370361,1997
10,1,10,14,rcp45,DJF,-1.07051305771,2001
10,1,10,14,rcp45,DJF,-0.395299720764,2002
10,1,10,14,rcp45,DJF,-0.192308235168,2003
10,1,10,14,rcp45,DJF,-4.96581201553,2004
10,1,10,14,rcp45,DJF,-2.91453008652,2006
10,1,10,14,rcp45,DJF,-3.01495723724,2010
10,1,10,14,rcp45,DJF,-0.811965751648,2011
10,1,10,14,rcp45,DJF,-1.96367530823,2018
10,1,10,14,rcp45,DJF,-0.880342292786,2020
10,1,10,14,rcp45,DJF,-0.420940208435,2022
10,1,10,14,rcp45,DJF,-2.45940189362,2027
10,1,10,14,rcp45,DJF,-0.634615707397,2029
10,1,10,14,rcp45,DJF,-1.205128479,2030
10,1,10,14,rcp45,DJF,-3.02777795792,2031
10,1,10,14,rcp45,DJF,-4.8611114502,2033
10,1,10,14,rcp45,DJF,-0.963675308228,2035
10,1,10,14,rcp45,DJF,-0.711539077759,2039
10,1,10,14,rcp45,DJF,-0.213675308228,2040
10,1,10,14,rcp45,DJF,-1.75213699341,2042
10,1,10,14,rcp45,DJF,-2.5448720932,2049
10,1,10,14,rcp45,DJF,-0.950855064392,2050
10,1,10,14,rcp45,DJF,-4.44017105103,2056
10,1,10,14,rcp45,DJF,-1.72435932159,2062
10,1,10,14,rcp45,DJF,-1.6581199646,2063
10,1,10,14,rcp45,DJF,-1.97222261429,2066
10,1,10,14,rcp45,DJF,-0.523504066467,2069
10,1,10,14,rcp45,DJF,-1.59829072952,2071
10,1,10,14,rcp45,DJF,-0.147435951233,2073
10,1,10,14,rcp45,DJF,-0.175213623047,2078
10,1,10,14,rcp45,DJF,-0.850427436829,2079
10,1,10,14,rcp45,DJF,-1.13247900009,2081
10,1,10,14,rcp45,DJF,-0.311965751648,2084
10,1,10,14,rcp45,DJF,-0.168803977966,2089
10,1,10,14,rcp45,DJF,-4.32905988693,2092
10,1,10,14,rcp45,DJF,-0.16452960968,2095
10,1,10,14,rcp45,DJF,-5.03632502556,2097
10,1,10,14,rcp45,DJF,-3.771367836,2099
10,1,10,14,rcp45,DJF,-0.60470085144,2100
10,2,90,14,rcp45,DJF,0.555981826782,2034
10,2,90,14,rcp45,DJF,0.786751937866,2055
10,2,90,14,rcp45,DJF,0.615811538696,2092
10,2,90,14,rcp45,DJF,1.74829025269,2097
10,2,10,14,rcp45,DJF,-0.202991294861,1972
10,2,10,14,rcp45,DJF,-1.94871788025,1976
10,2,10,14,rcp45,DJF,-0.66452960968,1979
10,2,10,14,rcp45,DJF,-1.16880350113,1982
10,2,10,14,rcp45,DJF,-2.11752157211,1983
10,2,10,14,rcp45,DJF,-2.44230775833,1984
10,2,10,14,rcp45,DJF,-1.94871788025,1986
10,2,10,14,rcp45,DJF,-1.08760719299,1990
10,2,10,14,rcp45,DJF,-2.93589763641,1992
10,2,10,14,rcp45,DJF,-2.17094020844,1993
10,2,10,14,rcp45,DJF,-0.818376350403,2000
10,2,10,14,rcp45,DJF,-2.271367836,2004
10,2,10,14,rcp45,DJF,-1.71581201553,2006
10,2,10,14,rcp45,DJF,-0.322649765015,2008
10,2,10,14,rcp45,DJF,-2.11965827942,2012
10,2,10,14,rcp45,DJF,-0.617521095276,2013
10,2,10,14,rcp45,DJF,-1.95085506439,2015
10,2,10,14,rcp45,DJF,-4.87606840134,2020
10,2,10,14,rcp45,DJF,-0.358974266052,2024
10,2,10,14,rcp45,DJF,-0.863247680664,2026
10,2,10,14,rcp45,DJF,-0.754273223877,2029
10,2,10,14,rcp45,DJF,-1.15384654999,2031
10,2,10,14,rcp45,DJF,-1.99145298004,2038
10,2,10,14,rcp45,DJF,-0.0277774810791,2040
10,2,10,14,rcp45,DJF,-1.51068382263,2042
10,2,10,14,rcp45,DJF,-0.254273223877,2045
10,2,10,14,rcp45,DJF,-1.01495723724,2047
10,2,10,14,rcp45,DJF,-2.6111114502,2049
10,2,10,14,rcp45,DJF,-1.69658117294,2053
10,2,10,14,rcp45,DJF,-1.2029917717,2059
10,2,10,14,rcp45,DJF,-2.23076944351,2063
10,2,10,14,rcp45,DJF,-2.14743595123,2065
10,2,10,14,rcp45,DJF,-1.41025667191,2072
10,2,10,14,rcp45,DJF,-1.78205137253,2077
10,2,10,14,rcp45,DJF,-1.44444446564,2079
10,2,10,14,rcp45,DJF,-4.09829072952,2080
10,2,10,14,rcp45,DJF,-0.925213623047,2081
10,2,10,14,rcp45,DJF,-2.98931627274,2087
10,2,10,14,rcp45,DJF,-1.7478635788,2088
